,Country,Year,Unit Code,Value,Exchange rate,USD_Value
0,Australia,2016,AUD,1758828.0,0.6667,1172610
1,Australia,2017,AUD,1842635.0,0.6667,1228484
2,Australia,2018,AUD,1946613.0,0.6667,1297806
3,Australia,2019,AUD,1979471.0,0.6667,1319713
5,Austria,2016,EUR,357607.95,1.072754,383625
6,Austria,2017,EUR,369361.87,1.072754,396234
7,Austria,2018,EUR,385274.09,1.072754,413304
8,Austria,2019,EUR,397169.54,1.072754,426065
10,Belgium,2016,EUR,430085.3,1.072754,461375
11,Belgium,2017,EUR,445050.1,1.072754,477429
12,Belgium,2018,EUR,460050.8,1.072754,493521
13,Belgium,2019,EUR,478645.0,1.072754,513468
15,Canada,2016,CAD,2025533.0,0.728176,1474944
16,Canada,2017,CAD,2140641.0,0.728176,1558763
17,Canada,2018,CAD,2235672.0,0.728176,1627962
18,Canada,2019,CAD,2313563.0,0.728176,1684681
20,Czech Republic,2016,CZK,4796873.0,0.045155,216602
21,Czech Republic,2017,CZK,5110743.0,0.045155,230775
22,Czech Republic,2018,CZK,5410761.0,0.045155,244322
23,Czech Republic,2019,CZK,5791498.0,0.045155,261515
25,Denmark,2016,DKK,2107808.218,0.144091,303716
26,Denmark,2017,DKK,2192960.002,0.144091,315985
27,Denmark,2018,DKK,2253316.249,0.144091,324682
28,Denmark,2019,DKK,2310954.835,0.144091,332987
30,Finland,2016,EUR,217518.0,1.072754,233343
31,Finland,2017,EUR,226301.0,1.072754,242765
32,Finland,2018,EUR,233462.0,1.072754,250447
33,Finland,2019,EUR,239858.0,1.072754,257308
35,France,2016,EUR,2234129.0,1.072754,2396670
36,France,2017,EUR,2297242.0,1.072754,2464375
37,France,2018,EUR,2363306.0,1.072754,2535245
38,France,2019,EUR,2437635.0,1.072754,2614982
40,Germany,2016,EUR,3134740.0,1.072754,3362804
41,Germany,2017,EUR,3267160.0,1.072754,3504858
42,Germany,2018,EUR,3365450.0,1.072754,3610299
43,Germany,2019,EUR,3473260.0,1.072754,3725953
