,Country,Year,Unit Code,Value,Exchange rate,GBP_Value
0,Australia,2016,AUD,1758828.0,0.546956,962001
1,Australia,2017,AUD,1842635.0,0.546956,1007840
2,Australia,2018,AUD,1946613.0,0.546956,1064711
3,Australia,2019,AUD,1979471.0,0.546956,1082683
4,Australia,2020,AUD,2080419.0,0.546956,1137897
5,Australia,2021,AUD,2309051.0,0.546956,1262949
6,Austria,2016,EUR,357607.95,0.884453,316287
7,Austria,2017,EUR,369361.87,0.884453,326683
8,Austria,2018,EUR,385274.09,0.884453,340756
9,Austria,2019,EUR,397169.54,0.884453,351277
10,Austria,2020,EUR,381042.48,0.884453,337014
11,Austria,2021,EUR,406148.67,0.884453,359219
12,Austria,2022,EUR,447652.7,0.884453,395927
13,Belgium,2016,EUR,430085.3,0.884453,380390
14,Belgium,2017,EUR,445050.1,0.884453,393625
15,Belgium,2018,EUR,460050.8,0.884453,406893
16,Belgium,2019,EUR,478645.0,0.884453,423339
17,Belgium,2020,EUR,459826.3,0.884453,406694
18,Belgium,2021,EUR,502311.6,0.884453,444271
19,Belgium,2022,EUR,552446.4,0.884453,488612
20,Canada,2016,CAD,2025533.0,0.599927,1215171
21,Canada,2017,CAD,2140641.0,0.599927,1284228
22,Canada,2018,CAD,2235672.0,0.599927,1341239
23,Canada,2019,CAD,2313563.0,0.599927,1387968
24,Canada,2020,CAD,2209681.0,0.599927,1325647
25,Canada,2021,CAD,2509618.0,0.599927,1505587
26,Czech Republic,2016,CZK,4796873.0,0.037381,179311
27,Czech Republic,2017,CZK,5110743.0,0.037381,191044
28,Czech Republic,2018,CZK,5410761.0,0.037381,202259
29,Czech Republic,2019,CZK,5791498.0,0.037381,216491
30,Czech Republic,2020,CZK,5709131.0,0.037381,213413
31,Czech Republic,2021,CZK,6108717.0,0.037381,228349
32,Denmark,2016,DKK,2107808.218,0.118804,250416
33,Denmark,2017,DKK,2192960.002,0.118804,260532
34,Denmark,2018,DKK,2253316.249,0.118804,267702
35,Denmark,2019,DKK,2310954.835,0.118804,274550
36,Denmark,2020,DKK,2323919.331,0.118804,276090
37,Denmark,2021,DKK,2504177.717,0.118804,297506
38,Finland,2016,EUR,217518.0,0.884453,192384
39,Finland,2017,EUR,226301.0,0.884453,200152
40,Finland,2018,EUR,233462.0,0.884453,206486
41,Finland,2019,EUR,239858.0,0.884453,212143
42,Finland,2020,EUR,238038.0,0.884453,210533
43,Finland,2021,EUR,251520.0,0.884453,222457
44,France,2016,EUR,2234129.0,0.884453,1975982
45,France,2017,EUR,2297242.0,0.884453,2031802
46,France,2018,EUR,2363306.0,0.884453,2090233
47,France,2019,EUR,2437635.0,0.884453,2155973
48,France,2020,EUR,2310469.0,0.884453,2043501
49,France,2021,EUR,2500870.0,0.884453,2211901
50,Germany,2016,EUR,3134740.0,0.884453,2772530
51,Germany,2017,EUR,3267160.0,0.884453,2889649
52,Germany,2018,EUR,3365450.0,0.884453,2976582
53,Germany,2019,EUR,3473260.0,0.884453,3071935
54,Germany,2020,EUR,3405430.0,0.884453,3011942
55,Germany,2021,EUR,3601750.0,0.884453,3185578
56,Germany,2022,EUR,3867050.0,0.884453,3420223
57,Greece,2016,EUR,174494.176,0.884453,154331
58,Greece,2017,EUR,176903.369,0.884453,156462
59,Greece,2018,EUR,179557.676,0.884453,158810
60,Greece,2019,EUR,183351.218,0.884453,162165
61,Greece,2020,EUR,165405.918,0.884453,146293
62,Greece,2021,EUR,181674.606,0.884453,160682
63,Korea,2016,KRW,1740779600.0,0.000627,1091468
64,Korea,2017,KRW,1835698200.0,0.000627,1150982
65,Korea,2018,KRW,1898192600.0,0.000627,1190166
66,Korea,2019,KRW,1924498100.0,0.000627,1206660
67,Korea,2020,KRW,1940726200.0,0.000627,1216835
68,Korea,2021,KRW,2071658000.0,0.000627,1298929
69,New Zealand,2016,NZD,271271.0,0.508695,137994
70,New Zealand,2017,NZD,290804.0,0.508695,147930
71,New Zealand,2018,NZD,306327.0,0.508695,155827
72,New Zealand,2019,NZD,323967.0,0.508695,164800
73,New Zealand,2020,NZD,326507.0,0.508695,166092
74,Poland,2016,PLN,1853205.0,0.189002,350259
75,Poland,2017,PLN,1982794.0,0.189002,374752
76,Poland,2018,PLN,2126506.0,0.189002,401913
77,Poland,2019,PLN,2288492.0,0.189002,432529
78,Poland,2020,PLN,2337672.0,0.189002,441824
79,Poland,2021,PLN,2623948.0,0.189002,495931
80,Spain,2016,EUR,1114420.0,0.884453,985652
81,Spain,2017,EUR,1162492.0,0.884453,1028169
82,Spain,2018,EUR,1203859.0,0.884453,1064756
83,Spain,2019,EUR,1245513.0,0.884453,1101597
84,Spain,2020,EUR,1117989.0,0.884453,988808
85,Spain,2021,EUR,1206842.0,0.884453,1067395
86,Spain,2022,EUR,1328922.0,0.884453,1175369
87,Switzerland,2016,CHF,677848.331,0.900166,610176
88,Switzerland,2017,CHF,684558.467,0.900166,616216
89,Switzerland,2018,CHF,709521.556,0.900166,638687
90,Switzerland,2019,CHF,716878.59,0.900166,645309
91,Switzerland,2020,CHF,694661.736,0.900166,625310
92,Switzerland,2021,CHF,731661.67,0.900166,658616
93,United Kingdom,2016,GBP,1999461.0,1.0,1999461
94,United Kingdom,2017,GBP,2085008.0,1.0,2085008
95,United Kingdom,2018,GBP,2157410.0,1.0,2157410
96,United Kingdom,2019,GBP,2238348.0,1.0,2238348
97,United Kingdom,2020,GBP,2109594.0,1.0,2109594
98,United Kingdom,2021,GBP,2270246.0,1.0,2270246
99,United Kingdom,2022,GBP,2482127.0,1.0,2482127
100,Colombia,2016,COP,863782000.0,0.000175,151161
101,Colombia,2017,COP,920471000.0,0.000175,161082
102,Colombia,2018,COP,987791000.0,0.000175,172863
103,Colombia,2019,COP,1060068000.0,0.000175,185511
104,Colombia,2020,COP,998719000.0,0.000175,174775
105,Estonia,2016,EUR,21747.91,0.884453,19235
106,Estonia,2017,EUR,23833.614,0.884453,21079
107,Estonia,2018,EUR,25932.176,0.884453,22935
108,Estonia,2019,EUR,27764.725,0.884453,24556
109,Estonia,2020,EUR,27464.982,0.884453,24291
110,Estonia,2021,EUR,31444.913,0.884453,27811
111,Ireland,2016,EUR,270205.336,0.884453,238983
112,Ireland,2017,EUR,297763.216,0.884453,263357
113,Ireland,2018,EUR,326631.278,0.884453,288890
114,Ireland,2019,EUR,356704.595,0.884453,315488
115,Ireland,2020,EUR,372836.397,0.884453,329756
116,Ireland,2021,EUR,426283.436,0.884453,377027
117,Ireland,2022,EUR,502583.5,0.884453,444511
118,Chile,2016,CLP,168764690.0,0.001044,176190
119,Chile,2017,CLP,179314910.0,0.001044,187204
120,Chile,2018,CLP,189434870.0,0.001044,197770
121,Chile,2019,CLP,195816480.0,0.001044,204432
122,Chile,2020,CLP,200343720.0,0.001044,209158
123,Chile,2021,CLP,240633270.0,0.001044,251221
124,Sweden,2016,SEK,4415031.0,0.077771,343361
