,Country,Year,Unit Code,Value
0,Australia,2016,AUD,1758828.0
1,Australia,2017,AUD,1842635.0
2,Australia,2018,AUD,1946613.0
3,Australia,2019,AUD,1979471.0
4,Australia,2020,AUD,2080419.0
6,Austria,2016,EUR,357607.95
7,Austria,2017,EUR,369361.87
8,Austria,2018,EUR,385274.09
9,Austria,2019,EUR,397169.54
10,Austria,2020,EUR,381042.48
13,Belgium,2016,EUR,430085.3
14,Belgium,2017,EUR,445050.1
15,Belgium,2018,EUR,460050.8
16,Belgium,2019,EUR,478645.0
17,Belgium,2020,EUR,459826.3
20,Canada,2016,CAD,2025533.0
21,Canada,2017,CAD,2140641.0
22,Canada,2018,CAD,2235672.0
23,Canada,2019,CAD,2313563.0
24,Canada,2020,CAD,2209681.0
26,Czech Republic,2016,CZK,4796873.0
27,Czech Republic,2017,CZK,5110743.0
28,Czech Republic,2018,CZK,5410761.0
29,Czech Republic,2019,CZK,5791498.0
30,Czech Republic,2020,CZK,5709131.0
32,Denmark,2016,DKK,2107808.218
33,Denmark,2017,DKK,2192960.002
34,Denmark,2018,DKK,2253316.249
35,Denmark,2019,DKK,2310954.835
36,Denmark,2020,DKK,2323919.331
38,Finland,2016,EUR,217518.0
39,Finland,2017,EUR,226301.0
40,Finland,2018,EUR,233462.0
41,Finland,2019,EUR,239858.0
42,Finland,2020,EUR,238038.0
44,France,2016,EUR,2234129.0
45,France,2017,EUR,2297242.0
46,France,2018,EUR,2363306.0
47,France,2019,EUR,2437635.0
48,France,2020,EUR,2310469.0
50,Germany,2016,EUR,3134740.0
51,Germany,2017,EUR,3267160.0
52,Germany,2018,EUR,3365450.0
53,Germany,2019,EUR,3473260.0
54,Germany,2020,EUR,3405430.0
57,Greece,2016,EUR,174494.176
58,Greece,2017,EUR,176903.369
59,Greece,2018,EUR,179557.676
60,Greece,2019,EUR,183351.218
61,Greece,2020,EUR,165405.918
63,Korea,2016,KRW,1740779600.0
64,Korea,2017,KRW,1835698200.0
65,Korea,2018,KRW,1898192600.0
66,Korea,2019,KRW,1924498100.0
67,Korea,2020,KRW,1940726200.0
69,New Zealand,2016,NZD,271271.0
70,New Zealand,2017,NZD,290804.0
71,New Zealand,2018,NZD,306327.0
72,New Zealand,2019,NZD,323967.0
73,New Zealand,2020,NZD,326507.0
74,Poland,2016,PLN,1853205.0
75,Poland,2017,PLN,1982794.0
76,Poland,2018,PLN,2126506.0
77,Poland,2019,PLN,2288492.0
78,Poland,2020,PLN,2337672.0
80,Spain,2016,EUR,1114420.0
81,Spain,2017,EUR,1162492.0
82,Spain,2018,EUR,1203859.0
83,Spain,2019,EUR,1245513.0
84,Spain,2020,EUR,1117989.0
87,Switzerland,2016,CHF,677848.331
88,Switzerland,2017,CHF,684558.467
89,Switzerland,2018,CHF,709521.556
90,Switzerland,2019,CHF,716878.59
91,Switzerland,2020,CHF,694661.736
93,United Kingdom,2016,GBP,1999461.0
94,United Kingdom,2017,GBP,2085008.0
95,United Kingdom,2018,GBP,2157410.0
96,United Kingdom,2019,GBP,2238348.0
97,United Kingdom,2020,GBP,2109594.0
100,Colombia,2016,COP,863782000.0
101,Colombia,2017,COP,920471000.0
102,Colombia,2018,COP,987791000.0
103,Colombia,2019,COP,1060068000.0
104,Colombia,2020,COP,998719000.0
105,Estonia,2016,EUR,21747.91
106,Estonia,2017,EUR,23833.614
107,Estonia,2018,EUR,25932.176
108,Estonia,2019,EUR,27764.725
109,Estonia,2020,EUR,27464.982
111,Ireland,2016,EUR,270205.336
112,Ireland,2017,EUR,297763.216
113,Ireland,2018,EUR,326631.278
114,Ireland,2019,EUR,356704.595
115,Ireland,2020,EUR,372836.397
118,Chile,2016,CLP,168764690.0
119,Chile,2017,CLP,179314910.0
120,Chile,2018,CLP,189434870.0
121,Chile,2019,CLP,195816480.0
122,Chile,2020,CLP,200343720.0
124,Sweden,2016,SEK,4415031.0
125,Sweden,2017,SEK,4625094.0
126,Sweden,2018,SEK,4828306.0
127,Sweden,2019,SEK,5049619.0
128,Sweden,2020,SEK,5038538.0
130,Portugal,2016,EUR,186489.811
131,Portugal,2017,EUR,195947.21
132,Portugal,2018,EUR,205184.124
133,Portugal,2019,EUR,214374.62
134,Portugal,2020,EUR,200518.859
136,India,2016,INR,153916690.149
137,India,2017,INR,170900423.611
138,India,2018,INR,188869569.076
139,India,2019,INR,203510128.945
140,South Africa,2016,ZAR,4359060.78
141,South Africa,2017,ZAR,4653578.928
142,South Africa,2018,ZAR,4873899.046
143,South Africa,2019,ZAR,5077625.041
144,South Africa,2020,ZAR,4973974.572
145,Russia,2016,RUB,85616083.8
146,Russia,2017,RUB,91843154.2
147,Russia,2018,RUB,103861651.1
148,Russia,2019,RUB,109241536.4
149,Russia,2020,RUB,106967459.4
150,Iceland,2016,ISK,2512054.819
151,Iceland,2017,ISK,2641959.405
152,Iceland,2018,ISK,2844409.659
153,Iceland,2019,ISK,3043848.282
154,Iceland,2020,ISK,2937929.996
156,Luxembourg,2016,EUR,56208.068
157,Luxembourg,2017,EUR,58168.784
158,Luxembourg,2018,EUR,60121.164
159,Luxembourg,2019,EUR,62373.588
160,Luxembourg,2020,EUR,64780.987
162,Japan,2016,JPY,544364600.0
163,Japan,2017,JPY,553073000.0
164,Japan,2018,JPY,556630100.0
165,Japan,2019,JPY,557910800.0
166,Japan,2020,JPY,539082400.0
168,Netherlands,2016,EUR,708337.0
169,Netherlands,2017,EUR,738146.0
170,Netherlands,2018,EUR,773987.0
171,Netherlands,2019,EUR,813055.0
172,Netherlands,2020,EUR,796530.0
175,Slovak Republic,2016,EUR,81265.197
176,Slovak Republic,2017,EUR,84669.877
177,Slovak Republic,2018,EUR,89874.693
178,Slovak Republic,2019,EUR,94437.483
179,Slovak Republic,2020,EUR,93413.756
181,Mexico,2016,MXN,20129057.371
182,Mexico,2017,MXN,21934167.572
183,Mexico,2018,MXN,23524390.183
184,Mexico,2019,MXN,24445735.084
185,Mexico,2020,MXN,23430377.458
187,Norway,2016,NOK,3098148.0
188,Norway,2017,NOK,3295382.0
189,Norway,2018,NOK,3553900.0
190,Norway,2019,NOK,3563484.0
191,Norway,2020,NOK,3410399.0
193,Slovenia,2016,EUR,40443.217
194,Slovenia,2017,EUR,43011.339
195,Slovenia,2018,EUR,45876.35
196,Slovenia,2019,EUR,48533.118
197,Slovenia,2020,EUR,47020.647
199,Hungary,2016,HUF,36206666.0
200,Hungary,2017,HUF,39274757.0
201,Hungary,2018,HUF,43386436.0
202,Hungary,2019,HUF,47664925.0
203,Hungary,2020,HUF,48411546.0
205,Türkiye,2016,TRY,2626559.71
206,Türkiye,2017,TRY,3133704.267
207,Türkiye,2018,TRY,3758773.727
208,Türkiye,2019,TRY,4311732.766
209,Türkiye,2020,TRY,5048220.067
211,China (People's Republic of),2016,CNY,74639510.0
212,China (People's Republic of),2017,CNY,83203600.0
213,China (People's Republic of),2018,CNY,91928110.0
214,China (People's Republic of),2019,CNY,98651500.0
215,China (People's Republic of),2020,CNY,101356700.0
217,Italy,2016,EUR,1695786.8
218,Italy,2017,EUR,1736592.8
219,Italy,2018,EUR,1771391.2
220,Italy,2019,EUR,1796648.5
221,Italy,2020,EUR,1660621.4
223,Indonesia,2016,IDR,12401728500.0
224,Indonesia,2017,IDR,13589825700.0
225,Indonesia,2018,IDR,14838756000.0
226,Indonesia,2019,IDR,15832657200.0
227,Indonesia,2020,IDR,15443353200.0
230,Israel,2016,ILS,1237057.24
231,Israel,2017,ILS,1289524.316
232,Israel,2018,ILS,1352532.822
233,Israel,2019,ILS,1434617.152
234,Israel,2020,ILS,1422635.043
236,Latvia,2016,EUR,25371.324
237,Latvia,2017,EUR,26984.433
238,Latvia,2018,EUR,29153.556
239,Latvia,2019,EUR,30678.645
240,Latvia,2020,EUR,30294.045
242,United States,2016,USD,18695110.842
243,United States,2017,USD,19477336.549
244,United States,2018,USD,20533057.312
245,United States,2019,USD,21380976.119
246,United States,2020,USD,21060473.613
248,Brazil,2016,BRL,6269328.0
249,Brazil,2017,BRL,6585479.0
250,Brazil,2018,BRL,7004141.0
251,Brazil,2019,BRL,7389131.0
252,Lithuania,2016,EUR,38889.862
253,Lithuania,2017,EUR,42276.297
254,Lithuania,2018,EUR,45515.226
255,Lithuania,2019,EUR,48908.224
256,Lithuania,2020,EUR,49769.582
258,Euro area (19 countries),2016,EUR,10817293.898
259,Euro area (19 countries),2017,EUR,11224152.949
260,Euro area (19 countries),2018,EUR,11599252.433
261,Euro area (19 countries),2019,EUR,11986264.406
262,Euro area (19 countries),2020,EUR,11456510.283
264,Argentina,2016,ARS,8228159.557
265,Argentina,2017,ARS,10660228.495
266,Argentina,2018,ARS,14744810.677
267,Argentina,2019,ARS,21802256.302
268,Argentina,2020,ARS,27481439.973
270,Costa Rica,2016,CRC,32056288.212
271,Costa Rica,2017,CRC,34343647.498
272,Costa Rica,2018,CRC,36014718.708
273,Costa Rica,2019,CRC,37832149.784
274,Costa Rica,2020,CRC,36495246.082
276,Cyprus,2016,EUR,18929.341
277,Cyprus,2017,EUR,20245.262
278,Cyprus,2018,EUR,21612.598
279,Cyprus,2019,EUR,23009.941
280,Cyprus,2020,EUR,21617.93
282,Bulgaria,2016,BGN,95390.491
283,Bulgaria,2017,BGN,102740.641
284,Bulgaria,2018,BGN,109964.191
285,Bulgaria,2019,BGN,120395.232
286,Bulgaria,2020,BGN,119951.087
288,Croatia,2016,EUR,47331.188
289,Croatia,2017,EUR,49516.169
290,Croatia,2018,EUR,51932.977
291,Croatia,2019,EUR,54783.979
292,Croatia,2020,EUR,50451.003
294,Romania,2016,RON,763652.5
295,Romania,2017,RON,857895.7
296,Romania,2018,RON,951728.5
297,Romania,2019,RON,1058973.2
298,Romania,2020,RON,1058926.1
300,Malta,2016,EUR,10541.13
301,Malta,2017,EUR,11940.985
302,Malta,2018,EUR,12954.812
303,Malta,2019,EUR,14047.085
304,Malta,2020,EUR,13066.004
306,Saudi Arabia,2016,SAR,2418508.28
307,Saudi Arabia,2017,SAR,2582197.979
308,Saudi Arabia,2018,SAR,3062170.029
309,Saudi Arabia,2019,SAR,3013560.993
310,Saudi Arabia,2020,SAR,2637628.824
312,European Union – 27 countries (from 01/02/2020),2016,EUR,12548705.733
313,European Union – 27 countries (from 01/02/2020),2017,EUR,13074832.956
314,European Union – 27 countries (from 01/02/2020),2018,EUR,13533327.242
315,European Union – 27 countries (from 01/02/2020),2019,EUR,14018685.877
316,European Union – 27 countries (from 01/02/2020),2020,EUR,13461155.914
318,Cameroon,2016,XAF,20038566.0
319,Cameroon,2017,XAF,20960865.0
320,Cameroon,2018,XAF,22203329.0
321,Cameroon,2019,XAF,23243662.0
322,Cameroon,2020,XAF,23486470.0
323,Senegal,2016,XOF,11283396.0
324,Senegal,2017,XOF,12191796.0
325,Senegal,2018,XOF,12840090.0
326,Senegal,2019,XOF,13712659.0
327,Senegal,2020,XOF,14100966.0
