Country,"GDP  (nominal, 2017)",GDP  (abbrev.),GDP   growth,Population  (2017),GDP   per capita,Share of  World GDP
United States,19485400000000.00,"19,485.00",0.0227,325084756,59939,0.2408
China,12237700000000.00,"12,238.00",0.069,1421021791,8612,0.1512
Japan,4872420000000.00,"4,872.00",0.0171,127502725,38214,0.0602
Germany,3693200000000.00,"3,693.00",0.0222,82658409,44680,0.0456
India,2650730000000.00,"2,651.00",0.0668,1338676785,1980,0.0328
United Kingdom,2637870000000.00,"2,638.00",0.0179,66727461,39532,0.0326
France,2582500000000.00,"2,583.00",0.0182,64842509,39827,0.0319
Brazil,2053590000000.00,"2,054.00",0.0098,207833823,9881,0.0254
Italy,1943840000000.00,"1,944.00",0.015,60673701,32038,0.024
Canada,1647120000000.00,"1,647.00",0.0305,36732095,44841,0.0204
Russia,1578420000000.00,"1,578.00",0.0155,145530082,10846,0.0195
South Korea,1530750000000.00,"1,531.00",0.0306,51096415,29958,0.0189
Australia,1323420000000.00,"1,323.00",0.0196,24584620,53831,0.0164
Spain,1314310000000.00,"1,314.00",0.0305,46647428,28175,0.0162
Mexico,1150890000000.00,"1,151.00",0.0204,124777324,9224,0.0142
Indonesia,1015420000000.00,"1,015.00",0.0507,264650963,3837,0.0125
Turkey,851549000000.00,852.00,0.0744,81116450,10498,0.0105
Netherlands,830573000000.00,831.00,0.0316,17021347,48796,0.0103
Saudi Arabia,686738000000.00,687.00,-0.0086,33101179,20747,0.0085
Switzerland,678965000000.00,679.00,0.0109,8455804,80296,0.0084
Argentina,637430000000.00,637.00,0.0285,43937140,14508,0.0079
Sweden,535607000000.00,536.00,0.0229,9904896,54075,0.0066
Poland,526466000000.00,526.00,0.0481,37953180,13871,0.0065
Belgium,494764000000.00,495.00,0.0173,11419748,43325,0.0061
Thailand,455303000000.00,455.00,0.0391,69209810,6579,0.0056
Iran,454013000000.00,454.00,0.0376,80673883,5628,0.0056
Austria,416836000000.00,417.00,0.0304,8819901,47261,0.0052
Norway,399489000000.00,399.00,0.0192,5296326,75428,0.0049
United Arab Emirates,382575000000.00,383.00,0.0079,9487203,40325,0.0047
Nigeria,375745000000.00,376.00,0.0081,190873244,1969,0.0046
Israel,353268000000.00,353.00,0.0333,8243848,42852,0.0044
South Africa,348872000000.00,349.00,0.0132,57009756,6120,0.0043
Hong Kong,341449000000.00,341.00,0.0379,7306322,46733,0.0042
Ireland,331430000000.00,331.00,0.078,4753279,69727,0.0041
Denmark,329866000000.00,330.00,0.0224,5732274,57545,0.0041
Singapore,323907000000.00,324.00,0.0362,5708041,56746,0.004
Malaysia,314710000000.00,315.00,0.059,31104646,10118,0.0039
Colombia,314458000000.00,314.00,0.0179,48909839,6429,0.0039
Philippines,313595000000.00,314.00,0.0668,105172925,2982,0.0039
Pakistan,304952000000.00,305.00,0.057,207906209,1467,0.0038
Chile,277076000000.00,277.00,0.0149,18470439,15001,0.0034
Finland,252302000000.00,252.00,0.0263,5511371,45778,0.0031
Bangladesh,249724000000.00,250.00,0.0728,159685424,1564,0.0031
Egypt,235369000000.00,235.00,0.0418,96442591,2441,0.0029
Vietnam,223780000000.00,224.00,0.0681,94600648,2366,0.0028
Portugal,219308000000.00,219.00,0.0268,10288527,21316,0.0027
Czech Republic (Czechia),215914000000.00,216.00,0.0429,10641034,20291,0.0027
Romania,211884000000.00,212.00,0.0726,19653969,10781,0.0026
Peru,211389000000.00,211.00,0.0253,31444298,6723,0.0026
New Zealand,204139000000.00,204.00,0.0303,4702034,43415,0.0025
Greece,203086000000.00,203.00,0.0135,10569450,19214,0.0025
Iraq,192061000000.00,192.00,-0.0207,37552781,5114,0.0024
Algeria,167555000000.00,168.00,0.016,41389189,4048,0.0021
Qatar,166929000000.00,167.00,0.0158,2724728,61264,0.0021
Kazakhstan,162887000000.00,163.00,0.041,18080019,9009,0.002
Hungary,139761000000.00,140.00,0.0399,9729823,14364,0.0017
Angola,122124000000.00,122.00,-0.0015,29816766,4096,0.0015
Kuwait,120126000000.00,120.00,-0.0287,4056099,29616,0.0015
Sudan,117488000000.00,117.00,0.0428,40813397,2879,0.0015
Ukraine,112154000000.00,112.00,0.0252,44487709,2521,0.0014
Morocco,109709000000.00,110.00,0.0409,35581255,3083,0.0014
Ecuador,104296000000.00,104.00,0.0237,16785361,6214,0.0013
Cuba,96851000000.00,96.85,0.0178,11339254,8541,0.0012
Slovakia,95617670260.00,95.62,0.034,5447900,17551,0.0012
Sri Lanka,87357205923.00,87.36,0.0331,21128032,4135,0.0011
Ethiopia,80561496134.00,80.56,0.1025,106399924,757,0.001
Kenya,79263075749.00,79.26,0.0487,50221142,1578,0.001
Dominican Republic,75931656815.00,75.93,0.0455,10513104,7223,0.0009
Guatemala,75620095538.00,75.62,0.0276,16914970,4471,0.0009
