Country,nominal GDP,abbrev GDP,GDP growth,Population,GDP per captial,Share of World GDP,Lat,Lng,Country Size,Continents
United States,19485400000000.0,"19,485.00",0.0227,325084756,59939,0.2408,39.7837304,-100.445882,Super Large(>10 trllions),North America
China,12237700000000.0,"12,238.00",0.069,1421021791,8612,0.1512,35.000074,104.999927,Super Large(>10 trllions),Asia
Japan,4872420000000.0,"4,872.00",0.0171,127502725,38214,0.0602,36.5748441,139.2394179,Large (1 trllions-10 trllions),Asia
Germany,3693200000000.0,"3,693.00",0.0222,82658409,44680,0.0456,51.1638175,10.4478313,Large (1 trllions-10 trllions),Europe
India,2650730000000.0,"2,651.00",0.0668,1338676785,1980,0.0328,22.3511148,78.6677428,Large (1 trllions-10 trllions),Asia
United Kingdom,2637870000000.0,"2,638.00",0.0179,66727461,39532,0.0326,54.7023545,-3.2765753,Large (1 trllions-10 trllions),Europe
France,2582500000000.0,"2,583.00",0.0182,64842509,39827,0.0319,46.603354,1.8883335,Large (1 trllions-10 trllions),Europe
Brazil,2053590000000.0,"2,054.00",0.0098,207833823,9881,0.0254,-10.3333333,-53.2,Large (1 trllions-10 trllions),South America
Italy,1943840000000.0,"1,944.00",0.015,60673701,32038,0.024,42.6384261,12.674297,Large (1 trllions-10 trllions),Europe
Canada,1647120000000.0,"1,647.00",0.0305,36732095,44841,0.0204,61.0666922,-107.991707,Large (1 trllions-10 trllions),North America
Russia,1578420000000.0,"1,578.00",0.0155,145530082,10846,0.0195,64.6863136,97.7453061,Large (1 trllions-10 trllions),Europe
South Korea,1530750000000.0,"1,531.00",0.0306,51096415,29958,0.0189,36.638392,127.6961188,Large (1 trllions-10 trllions),Asia
Australia,1323420000000.0,"1,323.00",0.0196,24584620,53831,0.0164,-24.7761086,134.755,Large (1 trllions-10 trllions),Oceania
Spain,1314310000000.0,"1,314.00",0.0305,46647428,28175,0.0162,39.3260685,-4.8379791,Large (1 trllions-10 trllions),Europe
Mexico,1150890000000.0,"1,151.00",0.0204,124777324,9224,0.0142,23.6585116,-102.0077097,Large (1 trllions-10 trllions),North America
Indonesia,1015420000000.0,"1,015.00",0.0507,264650963,3837,0.0125,-2.4833826,117.8902853,Large (1 trllions-10 trllions),Asia
Turkey,851549000000.0,852,0.0744,81116450,10498,0.0105,38.9597594,34.9249653,Medium (100 billions-1 trllions),Asia
Netherlands,830573000000.0,831,0.0316,17021347,48796,0.0103,52.2434979,5.6343227,Medium (100 billions-1 trllions),North America
Saudi Arabia,686738000000.0,687,-0.0086,33101179,20747,0.0085,25.6242618,42.3528328,Medium (100 billions-1 trllions),Asia
Switzerland,678965000000.0,679,0.0109,8455804,80296,0.0084,46.7985624,8.2319736,Medium (100 billions-1 trllions),Europe
Argentina,637430000000.0,637,0.0285,43937140,14508,0.0079,-34.9964963,-64.9672817,Medium (100 billions-1 trllions),South America
Sweden,535607000000.0,536,0.0229,9904896,54075,0.0066,59.6749712,14.5208584,Medium (100 billions-1 trllions),Europe
Poland,526466000000.0,526,0.0481,37953180,13871,0.0065,52.215933,19.134422,Medium (100 billions-1 trllions),Europe
Belgium,494764000000.0,495,0.0173,11419748,43325,0.0061,50.6402809,4.6667145,Medium (100 billions-1 trllions),Europe
Thailand,455303000000.0,455,0.0391,69209810,6579,0.0056,14.8971921,100.83273,Medium (100 billions-1 trllions),Asia
Iran,454013000000.0,454,0.0376,80673883,5628,0.0056,32.6475314,54.5643516,Medium (100 billions-1 trllions),Asia
Austria,416836000000.0,417,0.0304,8819901,47261,0.0052,47.59397,14.12456,Medium (100 billions-1 trllions),Europe
Norway,399489000000.0,399,0.0192,5296326,75428,0.0049,61.1529386,8.7876653,Medium (100 billions-1 trllions),Europe
United Arab Emirates,382575000000.0,383,0.0079,9487203,40325,0.0047,24.0002488,53.9994829,Medium (100 billions-1 trllions),Asia
Nigeria,375745000000.0,376,0.0081,190873244,1969,0.0046,9.6000359,7.9999721,Medium (100 billions-1 trllions),Africa
Israel,353268000000.0,353,0.0333,8243848,42852,0.0044,30.8124247,34.8594762,Medium (100 billions-1 trllions),Asia
South Africa,348872000000.0,349,0.0132,57009756,6120,0.0043,-28.8166236,24.991639,Medium (100 billions-1 trllions),Africa
Hong Kong,341449000000.0,341,0.0379,7306322,46733,0.0042,22.440384,114.098975,Medium (100 billions-1 trllions),Asia
Ireland,331430000000.0,331,0.078,4753279,69727,0.0041,52.865196,-7.9794599,Medium (100 billions-1 trllions),Europe
Denmark,329866000000.0,330,0.0224,5732274,57545,0.0041,55.670249,10.3333283,Medium (100 billions-1 trllions),Europe
Singapore,323907000000.0,324,0.0362,5708041,56746,0.004,1.357107,103.8194992,Medium (100 billions-1 trllions),Asia
Malaysia,314710000000.0,315,0.059,31104646,10118,0.0039,4.5693754,102.2656823,Medium (100 billions-1 trllions),Asia
Colombia,314458000000.0,314,0.0179,48909839,6429,0.0039,4.099917,-72.9088133,Medium (100 billions-1 trllions),South America
Philippines,313595000000.0,314,0.0668,105172925,2982,0.0039,12.7503486,122.7312101,Medium (100 billions-1 trllions),Asia
Pakistan,304952000000.0,305,0.057,207906209,1467,0.0038,30.3308401,71.247499,Medium (100 billions-1 trllions),Asia
Chile,277076000000.0,277,0.0149,18470439,15001,0.0034,-31.7613365,-71.3187697,Medium (100 billions-1 trllions),South America
Finland,252302000000.0,252,0.0263,5511371,45778,0.0031,63.2467777,25.9209164,Medium (100 billions-1 trllions),Europe
Bangladesh,249724000000.0,250,0.0728,159685424,1564,0.0031,24.4769288,90.2934413,Medium (100 billions-1 trllions),Asia
Egypt,235369000000.0,235,0.0418,96442591,2441,0.0029,26.2540493,29.2675469,Medium (100 billions-1 trllions),Africa
Vietnam,223780000000.0,224,0.0681,94600648,2366,0.0028,15.9266657,107.9650855,Medium (100 billions-1 trllions),Asia
Portugal,219308000000.0,219,0.0268,10288527,21316,0.0027,39.6621648,-8.1353519,Medium (100 billions-1 trllions),Europe
Czech Republic (Czechia),215914000000.0,216,0.0429,10641034,20291,0.0027,49.7439047,15.3381061,Medium (100 billions-1 trllions),Europe
Romania,211884000000.0,212,0.0726,19653969,10781,0.0026,45.9852129,24.6859225,Medium (100 billions-1 trllions),Europe
Peru,211389000000.0,211,0.0253,31444298,6723,0.0026,-6.8699697,-75.0458515,Medium (100 billions-1 trllions),South America
New Zealand,204139000000.0,204,0.0303,4702034,43415,0.0025,-41.5000831,172.8344077,Medium (100 billions-1 trllions),Oceania
Greece,203086000000.0,203,0.0135,10569450,19214,0.0025,38.9953683,21.9877132,Medium (100 billions-1 trllions),Europe
Iraq,192061000000.0,192,-0.0207,37552781,5114,0.0024,33.0955793,44.1749775,Medium (100 billions-1 trllions),Asia
Algeria,167555000000.0,168,0.016,41389189,4048,0.0021,28.0000272,2.9999825,Medium (100 billions-1 trllions),Africa
Qatar,166929000000.0,167,0.0158,2724728,61264,0.0021,25.3336984,51.2295295,Medium (100 billions-1 trllions),Asia
Kazakhstan,162887000000.0,163,0.041,18080019,9009,0.002,48.1012954,66.7780818,Medium (100 billions-1 trllions),Asia
Hungary,139761000000.0,140,0.0399,9729823,14364,0.0017,47.1817585,19.5060937,Medium (100 billions-1 trllions),Europe
Angola,122124000000.0,122,-0.0015,29816766,4096,0.0015,-11.8775768,17.5691241,Medium (100 billions-1 trllions),Africa
Kuwait,120126000000.0,120,-0.0287,4056099,29616,0.0015,29.2733964,47.4979476,Medium (100 billions-1 trllions),Asia
Sudan,117488000000.0,117,0.0428,40813397,2879,0.0015,14.5844444,29.4917691,Medium (100 billions-1 trllions),Africa
Ukraine,112154000000.0,112,0.0252,44487709,2521,0.0014,49.4871968,31.2718321,Medium (100 billions-1 trllions),Europe
Morocco,109709000000.0,110,0.0409,35581255,3083,0.0014,31.1728205,-7.3362482,Medium (100 billions-1 trllions),Africa
Ecuador,104296000000.0,104,0.0237,16785361,6214,0.0013,-1.3397668,-79.3666965,Medium (100 billions-1 trllions),South America
Cuba,96851000000.0,96.85,0.0178,11339254,8541,0.0012,23.0131338,-80.8328748,Small (<100 billions),North America
Slovakia,95617670260.0,95.62,0.034,5447900,17551,0.0012,48.7411522,19.4528646,Small (<100 billions),Europe
Sri Lanka,87357205923.0,87.36,0.0331,21128032,4135,0.0011,7.5554942,80.7137847,Small (<100 billions),Asia
Ethiopia,80561496134.0,80.56,0.1025,106399924,757,0.001,10.2116702,38.6521203,Small (<100 billions),Africa
Kenya,79263075749.0,79.26,0.0487,50221142,1578,0.001,1.4419683,38.4313975,Small (<100 billions),Africa
Dominican Republic,75931656815.0,75.93,0.0455,10513104,7223,0.0009,19.0974031,-70.3028026,Small (<100 billions),North America
Guatemala,75620095538.0,75.62,0.0276,16914970,4471,0.0009,15.5855545,-90.345759,Small (<100 billions),North America
Oman,70783875163.0,70.78,-0.0027,4665928,15170,0.0009,21.0000287,57.0036901,Small (<100 billions),Europe
Myanmar,67068745521.0,67.07,0.0676,53382523,1256,0.0008,17.1750495,95.9999652,Small (<100 billions),Asia
Luxembourg,62316359824.0,62.32,0.023,591910,105280,0.0008,49.8158683,6.1296751,Small (<100 billions),Europe
Panama,62283756584.0,62.28,0.0532,4106769,15166,0.0008,8.559559,-81.1308434,Small (<100 billions),North America
Ghana,58996776238.0,59,0.0814,29121465,2026,0.0007,8.0300284,-1.0800271,Small (<100 billions),Africa
Bulgaria,58220973783.0,58.22,0.0381,7102444,8197,0.0007,42.6073975,25.4856617,Small (<100 billions),Europe
Costa Rica,57285984448.0,57.29,0.0328,4949954,11573,0.0007,10.2735633,-84.0739102,Small (<100 billions),North America
Uruguay,56156972158.0,56.16,0.0266,3436641,16341,0.0007,-32.8755548,-56.0201525,Small (<100 billions),South America
Croatia,55213087271.0,55.21,0.0292,4182857,13200,0.0007,45.5643442,17.0118954,Small (<100 billions),Europe
Belarus,54456465473.0,54.46,0.0242,9450231,5762,0.0007,53.4250605,27.6971358,Small (<100 billions),Europe
Lebanon,53576985687.0,53.58,0.0153,6819373,7857,0.0007,33.8750629,35.843409,Small (<100 billions),Asia
Tanzania,53320625959.0,53.32,0.071,54660339,975,0.0007,-6.5247123,35.7878438,Small (<100 billions),Africa
Macao,50361201096.0,50.36,0.091,622585,80890,0.0006,22.139833,113.563619,Small (<100 billions),Asia
Uzbekistan,49677172714.0,49.68,0.053,31959785,1554,0.0006,41.32373,63.9528098,Small (<100 billions),Asia
Slovenia,48769655479.0,48.77,0.05,2076394,23488,0.0006,45.8133113,14.4808369,Small (<100 billions),Europe
Lithuania,47544459559.0,47.54,0.0383,2845414,16709,0.0006,55.3500003,23.7499997,Small (<100 billions),Europe
Serbia,41431648801.0,41.43,0.0187,8829628,4692,0.0005,44.1534121,20.55144,Small (<100 billions),Europe
Azerbaijan,40747792238.0,40.75,0.001,9845320,4139,0.0005,40.3936294,47.7872508,Small (<100 billions),Asia
Jordan,40068308451.0,40.07,0.0197,9785843,4095,0.0005,31.1667049,36.941628,Small (<100 billions),Asia
Tunisia,39952095561.0,39.95,0.0196,11433443,3494,0.0005,33.8439408,9.400138,Small (<100 billions),Africa
Paraguay,39667400816.0,39.67,0.0521,6867061,5776,0.0005,-23.3165935,-58.1693445,Small (<100 billions),South America
Libya,38107728083.0,38.11,0.2668,6580724,5791,0.0005,26.8234472,18.1236723,Small (<100 billions),Africa
Turkmenistan,37926285714.0,37.93,0.065,5757667,6587,0.0005,39.3763807,59.3924609,Small (<100 billions),Asia
DR Congo,37642482562.0,37.64,0.037,81398764,462,0.0005,-2.9814344,23.8222636,Small (<100 billions),Africa
Bolivia,37508642113.0,37.51,0.042,11192855,3351,0.0005,-17.0568696,-64.9912286,Small (<100 billions),South America
C?te d'Ivoire,37353276059.0,37.35,0.077,24437470,1529,0.0005,7.568978,-5.495164,Small (<100 billions),Oceania
Bahrain,35432686170.0,35.43,0.0388,1494076,23715,0.0004,26.1551249,50.5344606,Small (<100 billions),Asia
Cameroon,34922782311.0,34.92,0.0355,24566073,1422,0.0004,4.6125522,13.1535811,Small (<100 billions),Africa
Yemen,31267675216.0,31.27,-0.0594,27834819,1123,0.0004,16.3471243,47.8915271,Small (<100 billions),Asia
Latvia,30463302414.0,30.46,0.0455,1951097,15613,0.0004,56.8406494,24.7537645,Small (<100 billions),Europe
Estonia,26611651599.0,26.61,0.0485,1319390,20170,0.0003,58.7523778,25.3319078,Small (<100 billions),Europe
Uganda,25995031850.0,26,0.0386,41166588,631,0.0003,1.5333554,32.2166578,Small (<100 billions),Africa
Zambia,25868142073.0,25.87,0.034,16853599,1535,0.0003,-14.5189121,27.5589884,Small (<100 billions),Africa
